Nama_Obat,Zat_Aktif
CONTREX FLU & PILEK,PARACETAMOL
CONTREX FLU & PILEK,PHENYLEPHRINE HYDROCHLORIDE
CONTREX FLU & PILEK,CHLORPHENAMINE MALEATE
SCANTAREN GEL,DICLOFENAC DIETHYLAMINE
CONTREX FLU & PILEK MAX,PARACETAMOL
CONTREX FLU & PILEK MAX,PHENYLEPHRINE HYDROCHLORIDE
CONTREX FLU & PILEK MAX,CHLORPHENAMINE MALEATE
OSKADON MIGRA,PARACETAMOL
OSKADON MIGRA,PROPYPHENAZONE
OSKADON MIGRA,CAFFEINE
NEOLANTA OBAT KEMBUNG,SIMETHICONE
HI-D5000,CHOLECALCIFEROL
HI-D1000,CHOLECALCIFEROL
PREDICO-1,PREDNISOLONE
VIROPIL,DOLUTEGRAVIR SODIUM
VIROPIL,TENOFOVIR DISOPROXIL FUMARATE
VIROPIL,LAMIVUDINE
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE
ABIRANAT,ABIRATERONE ACETATE
IPRAMID,LOPERAMIDE HYDROCHLORIDE
CYDIPIN - 5,AMLODIPINE BESILATE
CYDIPIN - 10,AMLODIPINE BESILATE
INSTGRA,DOLUTEGRAVIR SODIUM
MEDCOTRAM,TRAMADOL HYDROCHLORIDE
PROSPEP,DOMPERIDONE
BRONKIPECT,AMBROXOL HYDROCHLORIDE
CYMALIUM - 10,FLUNARIZINE DIHYDROCHLORIDE
MEDTYAPHEN - 500,THIAMPHENICOL
MOXIMOX,MOXIFLOXACIN HYDROCHLORIDE
MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE
SALBULIN,SALBUTAMOL SULFATE
MEDCOMOL,PARACETAMOL
MEDCOFEN,IBUPROFEN
ALCET,CETIRIZINE HYDROCHLORIDE
PREDICO-5,PREDNISOLONE
XALIQUIS 5,APIXABAN
XALIQUIS 2.5,APIXABAN
CYMALIUM - 5,FLUNARIZINE DIHYDROCHLORIDE
LADENUM,"KOMBINASI-LANSOPRAZOLE ENTERIC COATED PELLET 8,5"
HYLOQUIN,HYDROXYCHLOROQUINE SULFATE
APIXABAN,APIXABAN
OBAT SUNTIK KB I TIGA BULANAN,MEDROXYPROGESTERONE ACETATE
ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM
QUADROXON,MEDROXYPROGESTERONE ACETATE
AZITHROMYCIN DIHYDRATE,KOMBINASI-AZITHROMYCIN DIHYDRATE STERILE LYOPHILIZED
CEFOTAXIME SODIUM,CEFOTAXIME SODIUM
SIMVASTATIN,SIMVASTATIN
QUARAMOL,PARACETAMOL
IMIPENEM MONOHYDRATE - CILASTATIN SODIUM,KOMBINASI-IMIPENEM MONOHYDRATE
IMIPENEM MONOHYDRATE - CILASTATIN SODIUM,CILASTATIN SODIUM
CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE
CEFEPIME HCL MONOHYDRATE,KOMBINASI-CEFEPIME HCL MONOHYDRATE BUFFERED WITH ARGININE
CEFOPERAZONE SODIUM - SULBACTAM SODIUM,CEFOPERAZONE SODIUM
CEFOPERAZONE SODIUM - SULBACTAM SODIUM,SULBACTAM SODIUM
CEFOPERAZONE SODIUM - SULBACTAM SODIUM,CEFOPERAZONE 500 MG
CEFOPERAZONE SODIUM - SULBACTAM SODIUM,SULBACTAM 500 MG
QUATROSIS,METRONIDAZOLE
MEROPENEM TRIHYDRATE,MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE
KETOROLAC TROMETAMOL,KETOROLAC TROMETAMOL
QUAPAIN,KETOROLAC TROMETAMOL
DOMPERIDONE MALEATE,DOMPERIDONE MALEATE
EMEQUA,DOMPERIDONE MALEATE
FOSFOMYCIN SODIUM,FOSFOMYCIN SODIUM
QUAMER,MEROPENEM TRIHYDRATE BUFFERED WITH SODIUM CARBONATE
PENCILAS,KOMBINASI-IMIPENEM MONOHYDRATE
PENCILAS,"CILASTATIN SODIUM 1,106 G"
PENCILAS,IMIPENEM 500 MG
PENCILAS,CILASTATIN 500
QUAZOL,FLUCONAZOLE
CITICOLINE SODIUM,CITICOLINE SODIUM
QUANOCAIN SPINAL HEAVY,BUPIVACAINE HYDROCHLORIDE MONOHYDRATE
QUANOCAIN SPINAL HEAVY,DEXTROSE ANHYDRATE
AZITUM,KOMBINASI-AZITHROMYCIN DIHYDRATE STERILE LYOPHILIZED
NACEPIM,CEFEPIME HCL MONOHYDRATE BUFFERED WITH ARGININE
QUAFAXIL,CEFADROXIL MONOHYDRATE
QUABACEF,CEFOPERAZONE SODIUM
QUABACEF,SULBACTAM SODIUM
QUABACEF,CEFOPERAZONE 500 MG
QUABACEF,SULBACTAM 500
NICARDIPINE HCL,NICARDIPINE HYDROCHLORIDE
QUAFOS,FOSFOMYCIN SODIUM
NAQUACOL,CITICOLINE SODIUM
LEVOTUM,LEVOFLOXACIN HEMIHYDRATE
VITAMIN K1,PHYTOMENADIONE
QUADIPINE,NICARDIPINE HYDROCHLORIDE
TRAMADOL HCL,TRAMADOL HYDROCHLORIDE
